CASEID,V102,V106,V113
10010139902,0,1,0
10010135702,0,0,1
10010139502,0,1,1
10010135804,0,1,1
10010138002,0,1,1
10010302204,0,1,1
10010309802,0,1,1
10010308502,0,3,0
10010302002,0,1,1
10010061804,0,1,0
10010065002,0,2,1
10010061604,0,2,0
10010069002,0,0,0
10010316703,0,1,1
10010313802,0,1,1
10010314802,0,2,1
10010318002,0,1,1
10010311404,0,3,1
10010311204,0,1,1
10010298602,0,1,1
10010298502,0,1,1
10010294502,0,2,1
10010296604,0,2,1
10010296604,0,2,1
10010297804,0,1,0
10010297804,0,1,0
10010299802,0,1,0
10010094002,0,3,0
10010091002,0,1,0
10010091002,0,1,0
10010091402,0,1,0
10010096702,0,1,0
10010092802,0,2,0
10010092602,0,3,0
10010094302,0,1,0
10010094502,0,1,1
10010097502,0,0,0
10010097502,0,0,0
10010406803,0,2,1
10010401309,0,2,0
10010403002,0,1,1
10010407204,0,2,1
10010408904,0,1,1
10010408904,0,1,1
10010408908,0,1,1
10010408804,0,1,0
10010400704,0,3,0
10010400709,0,1,0
10010403507,0,1,0
10010407702,0,1,0
10010021402,0,0,1
10010021402,0,0,1
10010020104,0,1,1
10010023404,0,1,1
10010027904,0,1,1
10010027904,0,1,1
10010027604,0,2,1
10010027002,0,1,1
10010027002,0,1,1
10010024404,0,1,1
10010025402,0,1,1
10010217402,0,1,1
10010211504,0,1,1
10010213304,0,1,1
10010214004,0,1,1
10010210402,0,1,1
10010074602,0,3,0
10010075802,0,1,0
10010075004,0,1,0
10010075502,0,0,0
10010071203,0,1,0
10010372202,0,1,0
10010379904,0,1,1
10010374503,0,1,1
10010374004,0,1,1
10010379803,0,1,0
10010376202,0,1,1
10010376202,0,1,1
10010372902,0,1,0
10010375704,0,1,0
10010375704,0,1,0
10010276202,0,1,1
10010279502,0,1,1
10010278302,0,1,1
10010272002,0,2,1
10010270803,0,1,1
10010056904,0,1,0
10010054202,0,1,1
10010054202,0,1,1
10010052702,0,0,0
10010052702,0,0,0
10010052202,0,3,0
10010052202,0,3,0
10010056304,0,1,0
10010056304,0,1,0
10010226102,0,2,0
10010224402,0,2,0
